,time,open,high,low,close,volume
0,2025-04-11,48.31,48.49,46.95,48.195,4095267.0
1,2025-04-10,51.23,51.27,47.535,47.595,5310883.0
2,2025-04-09,46.87,48.36,45.95,46.62,5711669.0
3,2025-04-08,49.785,50.01,48.315,48.315,5421050.0
4,2025-04-07,45.66,51.46,45.6,49.045,9597233.0
5,2025-04-04,51.5,51.6,48.305,49.065,7911418.0
6,2025-04-03,52.19,54.05,51.52,51.76,4681619.0
7,2025-04-02,53.7,54.27,53.25,53.97,2147529.0
8,2025-04-01,54.72,54.72,53.73,54.23,2580527.0
9,2025-03-31,55.13,55.19,53.55,54.19,3831087.0
10,2025-03-28,56.0,56.6,55.44,55.75,2572723.0
11,2025-03-27,55.8,56.57,54.75,56.47,4804005.0
12,2025-03-26,59.8,59.81,57.87,58.03,2140217.0
13,2025-03-25,59.18,59.59,58.81,59.25,2203636.0
14,2025-03-24,59.37,59.56,58.38,58.65,2365705.0
15,2025-03-21,58.67,58.9,57.7,58.36,7410891.0
16,2025-03-20,59.99,60.02,57.92,58.49,3393659.0
17,2025-03-19,60.56,61.15,59.72,59.95,2214608.0
18,2025-03-18,60.36,61.55,60.13,61.28,2910571.0
19,2025-03-17,60.15,60.7,59.63,59.88,1872862.0
20,2025-03-14,59.31,60.94,58.72,59.97,2933762.0
21,2025-03-13,59.8,60.32,58.77,59.72,2758884.0
22,2025-03-12,61.06,61.22,59.98,60.5,1824873.0
23,2025-03-11,61.89,63.17,60.26,60.76,4046164.0
24,2025-03-10,61.74,62.32,60.5,61.96,3613491.0
25,2025-03-07,61.57,62.15,60.09,60.7,2864015.0
26,2025-03-06,60.8,62.87,60.75,62.3,4775007.0
27,2025-03-05,59.48,61.03,59.09,59.59,4451123.0
28,2025-03-04,59.62,59.75,56.95,57.81,5040808.0
29,2025-03-03,59.5,62.29,59.23,60.73,3357936.0
30,2025-02-28,59.22,60.02,58.79,59.77,4157028.0
31,2025-02-27,59.84,60.72,59.7,59.98,2725518.0
32,2025-02-26,60.61,61.58,60.55,61.43,1974930.0
33,2025-02-25,59.35,60.94,59.2,60.7,2098724.0
34,2025-02-24,59.6,59.97,59.18,59.65,2407404.0
35,2025-02-21,59.65,59.85,57.87,58.8,4007361.0
36,2025-02-20,59.34,60.77,58.87,59.63,3990432.0
37,2025-02-19,61.89,62.03,60.65,61.18,2745015.0
38,2025-02-18,61.79,62.23,61.17,62.21,2093787.0
39,2025-02-17,61.41,61.8,61.23,61.5,1824490.0
40,2025-02-14,60.52,62.03,60.4,61.32,2945013.0
41,2025-02-13,58.79,61.29,58.79,61.13,5139254.0
42,2025-02-12,57.56,58.33,57.3,58.0,2687822.0
43,2025-02-11,57.48,57.74,56.83,57.18,1978418.0
44,2025-02-10,56.82,57.82,56.81,57.55,1881145.0
45,2025-02-07,57.7,58.15,56.54,56.88,1998129.0
46,2025-02-06,56.42,57.77,56.08,57.52,2167318.0
47,2025-02-05,57.03,57.27,56.06,56.65,2447225.0
48,2025-02-04,56.75,57.34,56.06,57.34,2022115.0
